gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
Zbp1	8.270052201817168e-176	1.0569399148742746	0.761	0.163	1.7410940900485683e-171	1.24345602409528e-162	1.0588432963712868	0.812	0.211	2.6178479675277927e-158	1.24345602409528e-162	1.6540104403634372e-175	BEC
Timp3	3.032449705343328e-156	0.6998697274907548	0.93	0.667	6.384216364659309e-152	2.1233370751311562e-175	0.7575004119781839	0.95	0.7	4.470261544273623e-171	3.032449705343328e-156	4.2466741502622955e-175	BEC
Oasl1	6.843533834109783e-173	0.995700832923024	0.736	0.137	1.4407691780951326e-168	3.171178219744939e-154	0.9612392569984273	0.746	0.12	6.67628150602902e-150	3.171178219744939e-154	1.3687067668219577e-172	BEC
Psme1	4.8884265197283084e-170	0.6096411615819957	0.932	0.701	1.0291604351984007e-165	4.3817547130427333e-160	0.5686670220666306	0.932	0.739	9.224908197368866e-156	4.3817547130427333e-160	9.776853039456765e-170	BEC
Cmpk2	1.6067275712461308e-169	1.0186411990425772	0.786	0.238	3.3826435557444793e-165	1.4529934946208403e-161	1.0538872067056249	0.811	0.267	3.058987204225255e-157	1.4529934946208403e-161	3.213455142492282e-169	BEC
Trim30a	1.6909072076368753e-169	0.8963008665514995	0.839	0.436	3.5598669442379136e-165	7.441584174412086e-167	0.9438691699238586	0.866	0.48	1.5666767162389764e-162	7.441584174412086e-167	3.381814415273699e-169	BEC
Gm4951	1.493558693535864e-168	0.9913589323448966	0.761	0.222	3.1443891175010542e-164	2.5363244199409442e-145	0.9860221963893888	0.773	0.244	5.339723801301669e-141	2.5363244199409442e-145	2.987117387071659e-168	BEC
H2-Q4	6.2400463435253865e-142	0.6713863526184982	0.869	0.629	1.3137169567023997e-137	5.0646007934844516e-166	0.8263956952074291	0.892	0.586	1.0662504050522815e-161	6.2400463435253865e-142	1.0129201586968743e-165	BEC
Ms4a6d	2.8607780495045027e-165	1.2953328845060006	0.671	0.043	6.02279602762183e-161	9.225267085544846e-142	1.204752358801024	0.686	0.048	1.9421954795197564e-137	9.225267085544846e-142	5.721556099008896e-165	BEC
Il6	1.4344546862279363e-163	1.0015001428552062	0.679	0.053	3.0199574509156744e-159	1.5312538627855715e-111	0.8872227164055766	0.689	0.17	3.2237487573224636e-107	1.5312538627855715e-111	2.8689093724559164e-163	BEC
Rnf213	1.2120539297544536e-156	0.8608885066212604	0.829	0.462	2.551737138312051e-152	4.2024760596085326e-162	0.9164322909521079	0.872	0.493	8.847472848293844e-158	1.2120539297544536e-156	8.404952119216916e-162	BEC
Ifi207	7.147620990888444e-161	0.8756700330959336	0.652	0.029	1.5047886472117442e-156	2.12114103276678e-134	0.8729620816485482	0.662	0.037	4.465638216283902e-130	2.12114103276678e-134	1.4295241981776727e-160	BEC
Tpm3	1.3221964672902452e-157	0.497523180973519	0.945	0.732	2.7836202225861534e-153	7.185110022864163e-106	0.4180905268457422	0.933	0.749	1.512681213113592e-101	7.185110022864163e-106	2.6443929345805163e-157	BEC
Gbp3	6.918414111075904e-157	0.8859569169182518	0.82	0.407	1.45653372280481e-152	3.4110492845724532e-149	0.8905235564132881	0.853	0.453	7.181282058810386e-145	3.4110492845724532e-149	1.38368282221515e-156	BEC
