gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
Mpzl1	9.565787629215699e-59	-0.4398240802913346	0.21	0.476	2.013885269578781e-54	9.151610106349397e-49	-0.30090377718199146	0.204	0.476	1.9266884756897386e-44	9.151610106349397e-49	1.9131575258431635e-58	BEC
Tspan3	2.763179374886304e-56	-0.3613379963013177	0.134	0.384	5.817321537948135e-52	2.0096370015361846e-58	-0.39291448826408054	0.158	0.429	4.2308887793341295e-54	2.763179374886304e-56	4.019274003072363e-58	BEC
Serf2	1.449048346581613e-51	-0.264017489408807	0.817	0.81	3.05068148405827e-47	2.0846483642107747e-58	-0.25854732757594956	0.841	0.832	4.388810201172944e-54	1.449048346581613e-51	4.169296728421543e-58	BEC
Prdx4	8.10533882723833e-58	-0.46865136375293703	0.302	0.553	1.7064169832984856e-53	4.606822340615738e-43	-0.3730798370301837	0.327	0.559	9.698743073698313e-39	4.606822340615738e-43	1.621067765447662e-57	BEC
Bnip3l	1.9001036924778958e-57	-0.48759971574614974	0.367	0.592	4.000288303773714e-53	8.168868232668211e-35	-0.3552588401490483	0.428	0.603	1.7197918290236384e-30	8.168868232668211e-35	3.800207384955751e-57	BEC
Emcn	2.9292904453443324e-57	-0.5095822419265161	0.604	0.716	6.167035174583423e-53	1.2558387308691432e-36	-0.3774456343862015	0.673	0.716	2.6439172800988073e-32	1.2558387308691432e-36	5.858580890688702e-57	BEC
Scarb1	6.068508063824516e-57	-0.5828014006304899	0.484	0.668	1.2776030026769753e-52	2.566571974878157e-27	-0.39200501906928464	0.504	0.631	5.403403978710985e-23	2.566571974878157e-27	1.2137016127648998e-56	BEC
Ppdpf	1.4633794690608192e-56	-0.3180015298407292	0.182	0.444	3.0808527962137426e-52	3.8729070737347777e-56	-0.302437897354329	0.199	0.485	8.153631262333827e-52	3.8729070737347777e-56	2.926758938121653e-56	BEC
Cox7a2l	3.304987405536381e-55	-0.4984387075208828	0.51	0.648	6.957989984875742e-51	9.119248824371153e-56	-0.48166008029265506	0.551	0.692	1.9198754549948587e-51	3.304987405536381e-55	1.823849764874225e-55	BEC
Itm2a	7.739727380601202e-32	-0.28333914053292086	0.108	0.28	1.629444805437971e-27	1.476272973980604e-55	-0.3191203240040581	0.117	0.368	3.1079974921213654e-51	7.739727380601202e-32	2.9525459479612316e-55	BEC
Lbh	1.791008029100396e-55	-0.47729009031210573	0.242	0.496	3.7706092036650635e-51	2.3178757278142732e-38	-0.36339161867652675	0.284	0.52	4.8798237697673895e-34	2.3178757278142732e-38	3.582016058200801e-55	BEC
Abcg2	1.096760895073083e-54	-0.5160529248663227	0.526	0.667	2.3090107123973615e-50	4.398121325321777e-26	-0.3773846520353067	0.543	0.646	9.259364826199937e-22	4.398121325321777e-26	2.193521790146161e-54	BEC
Cyb5a	4.063994531620858e-54	-0.45029689018414754	0.572	0.709	8.555927687421392e-50	4.4661743407821404e-38	-0.36468095626187025	0.635	0.721	9.40263683964864e-34	4.4661743407821404e-38	8.127989063241782e-54	BEC
