gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	lec_type
Tle5	3.255807388968329e-237	-0.8036623218735659	0.231	0.777	6.789986309693451e-233	6.761462419796395e-237	-0.7741905893211171	0.223	0.748	1.410102987648538e-232	0	-0.811850643480196	0.192	0.753	0	6.761462419796395e-237	0	PvC
Gpx4	2.808591965774042e-276	-0.8734213487934619	0.503	0.9	5.8573185446217646e-272	7.020764745654654e-237	-0.7483920328270751	0.588	0.874	1.4641804877062781e-232	0	-0.7841293969040669	0.527	0.888	0	7.020764745654654e-237	0	PvC
Tspan18	1.5417918109374072e-236	-0.30761729263335724	0.015	0.346	3.2154068217099628e-232	3.3615742878094414e-283	-0.3281011147391534	0.018	0.36	7.01056317722659e-279	0	-0.2857086063143113	0.015	0.31	0	1.5417918109374072e-236	0	FRC
Pdlim3	3.615550525509281e-236	-0.3934671852256871	0.006	0.327	7.540230620949605e-232	4.2422288001035685e-247	-0.3562981410635601	0.004	0.298	8.847168162615992e-243	0	-0.3294024770542247	0.004	0.275	0	3.615550525509281e-236	0	FRC
Cntfr	1.451154098722072e-234	-0.35887711727533056	0.055	0.421	3.0263818728848813e-230	1.0008279027018518e-286	-0.3769987397589287	0.047	0.412	2.0872265910847117e-282	0	-0.3569125480676812	0.039	0.395	0	1.451154098722072e-234	0	FRC
Chst2	2.1051229681190626e-234	-0.5075086452179843	0.103	0.493	4.390233950012305e-230	6.421531507376984e-265	-0.4708397190889777	0.108	0.478	1.33921039586347e-260	1.4019894151668905e-304	-0.43363460133579473	0.094	0.468	2.92384892533055e-300	2.1051229681190626e-234	4.2059682455009075e-304	FRC
Fosb	4.219930780977679e-264	-0.39682261039554967	0.905	0.945	8.80066564372895e-260	0	-0.37837295447416985	0.911	0.947	0	4.8581630191295284e-234	-0.3304816435446787	0.923	0.922	1.013169897639463e-229	4.8581630191295284e-234	0	FRC
Rasgrp2	6.300023568193248e-234	-0.7586425022049711	0.115	0.656	1.3138699151467019e-229	5.649865592644674e-252	-0.7897130570453871	0.156	0.71	1.1782794693460468e-247	9.292109887611162e-256	-0.673915129518138	0.181	0.668	1.937869517061308e-251	6.300023568193248e-234	2.7876329662834023e-255	PvC
Mxd4	2.264688618541261e-241	-0.7178042590788813	0.214	0.626	4.7230081139677996e-237	7.578940581628119e-234	-0.7636112523537815	0.208	0.622	1.5805880582985442e-229	8.030144987122435e-263	-0.6581913048499354	0.251	0.595	1.6746867370643839e-258	7.578940581628119e-234	2.4090434961368373e-262	BEC
Cxadr	2.9330816725916953e-232	-0.5515420939009212	0.053	0.409	6.116941828189981e-228	0	-0.6166853797488417	0.06	0.458	0	7.0879116764867e-239	-0.42773276834691804	0.054	0.329	1.4781839801313013e-234	2.9330816725916953e-232	0	FRC
Sptssa	1.7567295606003938e-231	-0.4500013818168194	0.267	0.647	3.6636594986321214e-227	0	-0.4592397164147136	0.282	0.658	0	2.6268138000757054e-289	-0.46449423675903373	0.222	0.616	5.478220180057884e-285	1.7567295606003938e-231	0	FRC
H3f3a	1.7741490149608445e-261	-0.4372492759854629	0.784	0.898	3.699987770700841e-257	1.8818014095964855e-228	-0.41717551286630417	0.781	0.873	3.9244968397134704e-224	0	-0.4770669229812441	0.786	0.87	0	1.8818014095964855e-228	0	BEC
Slc22a3	2.5255850571920492e-247	-0.39583412492143183	0.065	0.449	5.267107636774018e-243	1.0443959574200927e-273	-0.3950190952977439	0.068	0.425	2.1780877691996032e-269	1.2191008640875127e-226	-0.32050194251317743	0.086	0.383	2.5424348520545078e-222	1.2191008640875127e-226	3.133187872260542e-273	FRC
G0s2	1.472035958459246e-226	-0.35348161106748954	0.023	0.355	3.069930991366758e-222	3.9633363983530983e-296	-0.41013118717464125	0.031	0.398	8.265538058765386e-292	2.98681263346891e-267	-0.30779783868779	0.031	0.309	6.228997747099412e-263	1.472035958459246e-226	1.1890009195059465e-295	FRC
Ildr2	8.440619703480212e-226	-0.5014934006025176	0.154	0.535	1.7602912391607983e-221	2.2039677763226875e-296	-0.5056237355522674	0.151	0.545	4.596374797520965e-292	5.97701243971351e-291	-0.4801711053707489	0.135	0.503	1.2465059443022525e-286	8.440619703480212e-226	6.611903328968739e-296	FRC
Mustn1	3.080060045084654e-225	-0.619734953179975	0.172	0.546	6.423465224024046e-221	0	-0.6265199550213557	0.16	0.561	0	4.3900152872249614e-302	-0.5783880605770005	0.158	0.541	9.155376881507657e-298	3.080060045084654e-225	0	FRC
Smarca2	4.0173215320814897e-241	-0.5187517704286736	0.283	0.669	8.378124055155947e-237	0	-0.5482496039642786	0.284	0.698	0	3.36369535360233e-225	-0.4282683081681228	0.248	0.592	7.014986659937659e-221	3.36369535360233e-225	0	FRC
Cldn1	5.53232647329734e-225	-0.37530540393011597	0.017	0.339	1.1537666860061603e-220	4.168330624736436e-305	-0.4159395534870548	0.015	0.378	8.693053517887837e-301	5.492511729429394e-278	-0.28876922328582744	0.017	0.275	1.1454633211725e-273	5.53232647329734e-225	1.2504991874209743e-304	FRC
Zbtb20	6.094063481238324e-225	-0.8387598358166792	0.406	0.854	1.2709169390122525e-220	3.6132227705387825e-252	-0.9150640992505643	0.332	0.825	7.535376087958631e-248	4.902849459728308e-251	-0.7442558618135608	0.379	0.804	1.0224892548263386e-246	6.094063481238324e-225	1.0839668311617349e-251	PvC
Pdlim2	2.775314680508984e-230	-0.6414532123708022	0.044	0.54	5.7879187662014856e-226	1.0839228357991917e-224	-0.6219444151052207	0.057	0.535	2.260521074059214e-220	2.7324848319792525e-255	-0.5566241975459694	0.057	0.5	5.698597117092731e-251	1.0839228357991917e-224	8.197454495937877e-255	PvC
Cd9	2.686647988120109e-240	-0.5363795338414484	0.687	0.881	5.603004379224487e-236	1.9832891673888566e-224	-0.4273761841882664	0.694	0.858	4.1361495585894605e-220	1.2763503199433654e-271	-0.5570509274680135	0.638	0.85	2.6618285922418885e-267	1.9832891673888566e-224	3.8290509598302785e-271	FRC
Pde5a	5.486503177441469e-224	-0.6828236821685717	0.106	0.64	1.1442102376554184e-219	1.4263396235565012e-225	-0.6624746891816562	0.113	0.628	2.9746312849270833e-221	2.8614395599387724e-228	-0.5725512718156598	0.13	0.592	5.96753220225231e-224	5.486503177441469e-224	8.584318679816378e-228	PvC
H3f3a	2.5662337965649818e-222	-0.44418199661168667	0.864	0.936	5.35188058273627e-218	9.813555269949612e-224	-0.4228772933735119	0.89	0.937	2.0466169515479914e-219	0	-0.573070798130815	0.819	0.94	0	2.5662337965649818e-222	0	PvC
Pnkd	4.985189879420904e-222	-0.423227840736927	0.183	0.563	1.0396613493532296e-217	1.5005294973321783e-242	-0.3987750414292214	0.228	0.567	3.1293542666862576e-238	2.4705664620888033e-247	-0.40405059115054787	0.182	0.54	5.1523663566862e-243	4.985189879420904e-222	7.411699386267053e-247	FRC
Angptl2	2.1016110345771995e-231	-0.7002162514851591	0.085	0.625	4.382909812610749e-227	4.3819567108053743e-221	-0.6433410229848668	0.074	0.567	9.138570720384608e-217	2.1900017241926956e-225	-0.5562310480817042	0.1	0.544	4.567248595803867e-221	4.3819567108053743e-221	6.304833103731787e-231	PvC
Foxn3	8.422145130576546e-221	-0.4249346058529855	0.178	0.564	1.7564383669817387e-216	7.638611353449539e-271	-0.4111920302764854	0.174	0.555	1.5930323977619013e-266	7.501852444604929e-223	-0.36318475280252815	0.159	0.498	1.5645113273223579e-218	8.422145130576546e-221	2.2915834060349965e-270	FRC
Nfic	4.1561539438405164e-234	-0.733382562642381	0.144	0.693	8.667659049879397e-230	8.526644824959223e-221	-0.6887407653864923	0.168	0.677	1.778231778245246e-216	1.2303765933752253e-280	-0.6623256048403001	0.162	0.675	2.5659503854840324e-276	8.526644824959223e-221	3.691129780125992e-280	PvC
Sox4	6.209783603200077e-219	-0.6509489801655173	0.348	0.725	1.295050370447376e-214	4.3787369305602004e-306	-0.6645118288460776	0.325	0.716	9.131855868683298e-302	1.835850435184403e-259	-0.6221600202506803	0.29	0.665	3.8286660825770726e-255	6.209783603200077e-219	1.3136210791681712e-305	FRC
Aoc3	6.854442544014549e-219	-0.41760298604498347	0.109	0.483	1.4294939925542341e-214	0	-0.47518308255098834	0.073	0.5	0	0	-0.4498636828247435	0.057	0.464	0	6.854442544014549e-219	0	FRC
Sparcl1	1.3144273956539428e-218	-0.6309189454478816	0.644	0.81	2.7412383336362976e-214	3.6782399457451484e-250	-0.8165451345064999	0.579	0.788	7.670969406851507e-246	1.7419207181594868e-267	-0.6698488184566684	0.609	0.766	3.6327756577216094e-263	1.3144273956539428e-218	5.225762154478572e-267	BEC
Gng11	2.97448001945097e-243	-0.4950114635312879	0.76	0.913	6.203278080564997e-239	2.125238746000287e-288	-0.5892267031794043	0.75	0.896	4.432185404783599e-284	1.6724783730310448e-218	-0.3794918759406556	0.795	0.859	3.487953646956244e-214	1.6724783730310448e-218	6.375716238001036e-288	BEC
Crip2	1.61473346864294e-253	-0.8641652330896288	0.392	0.875	3.367526648854852e-249	4.679967292234138e-218	-0.7695363738898732	0.429	0.843	9.760071787954294e-214	0	-0.8469711776935751	0.414	0.853	0	4.679967292234138e-218	0	PvC
Thsd7a	5.391053478632362e-218	-0.5734236876867835	0.314	0.672	1.1243042029687792e-213	0	-0.7052409875012075	0.26	0.713	0	6.328916425227267e-221	-0.49134067927947317	0.258	0.596	1.3198955204811464e-216	5.391053478632362e-218	0	FRC
Myl12b	1.25697995688132e-217	-0.6335001704526417	0.524	0.773	2.6214317000759928e-213	1.0554899989485906e-233	-0.7351439739022939	0.472	0.765	2.2012243928072856e-229	1.0136071185310676e-290	-0.6886691050602156	0.468	0.73	2.1138776456965415e-286	1.25697995688132e-217	3.040821355593317e-290	BEC
Ano1	3.1195889269785055e-217	-0.4408651413447993	0.039	0.375	6.505902707213673e-213	0	-0.542246410352611	0.029	0.422	0	1.882436764507045e-272	-0.34597539619238404	0.031	0.306	3.925821872379442e-268	3.1195889269785055e-217	0	FRC
Snhg18	1.0196023397020871e-263	-0.5818605959899391	0.497	0.787	2.1263806794487026e-259	0	-0.5441343185623807	0.527	0.793	0	1.0734278135104437e-215	-0.49563549771067816	0.484	0.715	2.2386337050760303e-211	1.0734278135104437e-215	0	FRC
Anp32a	1.1258510977016559e-228	-0.42862056723780084	0.193	0.585	2.3479624642568036e-224	3.377352404044383e-262	-0.4259502392015056	0.242	0.6	7.04346843863456e-258	1.8223954679248936e-215	-0.3871439796803088	0.209	0.549	3.8006057483573657e-211	1.8223954679248936e-215	1.0132057212133145e-261	FRC
Dag1	0	-0.5898726800191904	0.396	0.777	0	0	-0.5736310756822055	0.415	0.783	0	2.3966932294850754e-215	-0.4626971487844007	0.408	0.702	4.998303730091125e-211	2.3966932294850754e-215	0	FRC
