gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	subtype
Eva1b	3.660113052168756e-74	-0.6282871752391325	0.283	0.832	7.633165770297941e-70	9.638219394568457e-57	-0.7478077498181103	0.236	0.827	2.0100506547372517e-52	1.1489786447589316e-36	-0.6301019299296984	0.261	0.78	2.396194963644752e-32	1.1489786447589316e-36	1.0980339156506181e-73	CD34+ SC
Tuba1a	9.064270878911965e-49	-0.40361819354985706	0.858	0.982	1.8903536917970903e-44	1.2010882777908098e-39	-0.4553944456187311	0.89	0.989	2.504869603332734e-35	1.2264019228270709e-36	-0.5957465501373884	0.773	0.969	2.5576612100558566e-32	1.2264019228270709e-36	2.7192812636735766e-48	CD34+ SC
Pltp	8.545688559198907e-60	-0.4054202646395018	0.238	0.412	1.782203349020932e-55	1.6877324504297142e-65	-0.40481232417046764	0.265	0.446	3.519766025371169e-61	1.3371196718040665e-36	-0.2773251237949398	0.307	0.413	2.7885630755473807e-32	1.3371196718040665e-36	5.063197351289166e-65	BEC
Nsd1	1.4007632937776199e-36	-0.27777790078434517	0.351	0.542	2.921291849173226e-32	5.531690990977355e-55	-0.33793798586202173	0.306	0.568	1.1536341561683274e-50	1.4700301828167077e-41	-0.25009410360557005	0.299	0.519	3.065747946264244e-37	1.4007632937776199e-36	1.659507297293201e-54	PvC
Tm7sf3	1.17723645445812e-59	-0.49996029949648835	0.225	0.747	2.4551266257724094e-55	1.5358784922273466e-36	-0.5739860554522176	0.274	0.715	3.2030745955401314e-32	8.921430149246329e-42	-0.5827463985239568	0.157	0.701	1.8605642576253218e-37	1.5358784922273466e-36	3.5317093633743993e-59	CD34+ SC
Ldb2	3.0954588810781554e-55	-0.39532753351255806	0.037	0.48	6.455579496488493e-51	8.400594539736776e-44	-0.40309474741182555	0.025	0.447	1.7519439912621046e-39	1.9891200637729434e-36	-0.392494596160828	0.052	0.433	4.148309892998473e-32	1.9891200637729434e-36	9.286376643234483e-55	CD34+ SC
Pid1	2.9228500946531076e-36	-0.44416130094386075	0.21	0.589	6.095603872399056e-32	1.0810092896256336e-43	-0.615673548825468	0.124	0.62	2.254444873514259e-39	6.518934185063442e-48	-0.6655922673552432	0.141	0.701	1.3595237242949808e-43	2.9228500946531076e-36	1.9556802555190394e-47	CD34+ SC
Ebf2	9.287963285952899e-47	-0.29990783748463656	0.237	0.47	1.937004743285477e-42	2.926228631735796e-36	-0.27395336732299796	0.281	0.49	6.102649811485003e-32	6.153335000392379e-60	-0.27123624146415887	0.21	0.47	1.2832780143318307e-55	2.926228631735796e-36	1.84600050011772e-59	PvC
Gucy1a1	3.121668135893347e-36	-0.7524643474057826	0.088	0.522	6.510238897405574e-32	5.562311010911502e-44	-0.9656181995658137	0.097	0.705	1.1600199613255937e-39	1.617700646895552e-48	-0.814268947646124	0.068	0.596	3.373714699100674e-44	3.121668135893347e-36	4.8531019406866555e-48	Cxcl9+ TRC
Plin3	3.081840184318677e-69	-0.47227386215559475	0.099	0.645	6.427177704396601e-65	2.202959402046678e-44	-0.4995468442136198	0.099	0.581	4.5942718329683475e-40	4.5757417939186994e-36	-0.40831840916377427	0.095	0.543	9.542709511217448e-32	4.5757417939186994e-36	9.245520552956011e-69	CD34+ SC
