gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	lec_type
mt-Nd4	3.5006960157464336e-8	0.4518964349345904	1	0.966	7.300701540839187e-4	7.552831907452945e-6	0.3479509671297836	1	0.939	0.15751430942993117	1.4184657835350414e-5	0.2997878955831661	0.944	0.955	0.29582103915623287	1.4184657835350414e-5	1.0502087679593132e-7	PvC
mt-Co3	2.653910673114569e-7	0.3055253476559101	1	0.981	0.0055347307087804335	1.2222404545011258e-6	0.29670617579405745	1	0.963	0.025489824678620977	1.832746689921803e-5	0.16436146723740785	0.944	0.971	0.38221932218319205	1.832746689921803e-5	7.961729906371332e-7	PvC
mt-Co3	2.4727762459343663e-5	0.31553732041507976	1	0.97	0.5156974860896121	1.2249811739587815e-7	0.3662223969641176	1	0.898	0.002554698238291039	7.511429872283498e-8	0.2953891295476203	1	0.944	0.0015665086998647236	2.4727762459343663e-5	2.2534287924203137e-7	Marco_LEC
mt-Cytb	1.123653470373198e-5	0.22854142531616883	1	0.983	0.23433793124633046	6.617868554148911e-7	0.22412328099969692	1	0.977	0.013801564869677553	2.5987986804322393e-5	0.18633482939556023	1	0.981	0.5419794648041435	2.5987986804322393e-5	1.9853592523594372e-6	FRC
Prox1	1.0555515605988128e-5	0.9757053475914357	0.755	0.333	0.2201352779628824	4.88615167391062e-6	0.7795405615724775	0.675	0.306	0.10190069315940598	3.4369143568338996e-5	0.6394974765625858	0.66	0.444	0.7167684891177097	3.4369143568338996e-5	1.4658383398413953e-5	Marco_LEC
9930111J21Rik2	4.114302203620425e-5	0.6972728489667193	0.857	0.545	0.8580377245650397	3.896370448084162e-7	0.6946247031476784	0.857	0.469	0.00812588056947952	2.6408626014542784e-5	0.5214890679198758	0.806	0.574	0.5507518955332897	4.114302203620425e-5	1.1689106789742267e-6	Marco_LEC
Prox1	3.0581287761915337e-19	0.4989783215442657	0.318	0.023	6.377727562747443e-15	4.875159097886305e-5	0.15581094499205367	0.16	0.027	1	4.5388020046122264e-41	0.38057716630547966	0.316	0.017	9.465671580618798e-37	4.875159097886305e-5	1.3616406013836684e-40	FRC
Malat1	4.979000723243504e-5	0.38094267612545707	1	0.909	1	3.812504795249958e-5	0.2245086797674336	1	0.98	0.7950978750493788	2.821798307918855e-8	0.2364618034558914	1	0.981	5.884860371164773e-4	4.979000723243504e-5	8.465394684880202e-8	Marco_LEC
mt-Nd1	2.497222827308768e-6	0.38865697880097105	1	0.961	0.05207958206352436	5.337045376071076e-5	0.3257254112868446	1	0.931	1	1.6334836518157143e-6	0.3488022376139335	1	0.943	0.03406630155861672	5.337045376071076e-5	4.900442950644975e-6	PvC
mt-Co1	1.0645485620753152e-8	0.38899374047880997	1	0.967	2.22011602620807e-4	5.401977779527742e-7	0.38175260548186585	1	0.937	0.011265824659205106	5.945283494098302e-5	0.21372843590314217	0.944	0.967	1	5.945283494098302e-5	3.1936456522280444e-8	PvC
