gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	subtype
Wars	0	0.8872568716083211	0.8	0.335	0	0	0.8754029995327541	0.795	0.351	0	0	0.9837312995199338	0.843	0.325	0	0	0	BEC
Pnp	0	0.8152486027298103	0.831	0.472	0	0	0.8291568644751576	0.839	0.5	0	0	0.7972067349633901	0.839	0.44	0	0	0	BEC
Psme1	0	0.6042457014625453	0.932	0.722	0	0	0.5357524618878333	0.926	0.783	0	0	0.5659936771673868	0.932	0.721	0	0	0	BEC
Phf11b	0	1.1445472845787095	0.776	0.05	0	0	1.192263556982157	0.778	0.033	0	0	1.1739604189306065	0.788	0.033	0	0	0	BEC
Phf11d	0	0.8017483878963628	0.839	0.442	0	0	0.8251103047553192	0.83	0.453	0	0	0.8259088718924187	0.837	0.399	0	0	0	BEC
Ly6a	0	0.601855547221283	0.988	0.834	0	0	0.6670953984690695	0.986	0.823	0	0	0.731341506035085	0.99	0.781	0	0	0	BEC
Tspo	0	0.7011870921732903	0.933	0.713	0	0	0.7186834779044076	0.935	0.723	0	0	0.7167793443347965	0.938	0.683	0	0	0	BEC
Cd47	0	0.5492655591926701	0.933	0.745	0	0	0.5503957136767319	0.929	0.785	0	0	0.5627777759796779	0.926	0.721	0	0	0	BEC
Daxx	0	0.8380757406043097	0.741	0.218	0	0	0.9077602747014004	0.745	0.213	0	0	0.8715429498747875	0.755	0.184	0	0	0	BEC
Tapbp	0	0.6419004107689696	0.882	0.634	0	0	0.6219854957019816	0.871	0.661	0	0	0.7064357567477184	0.908	0.608	0	0	0	BEC
Psmb8	0	0.6385166588494011	0.88	0.656	0	0	0.5750597637726806	0.901	0.726	0	0	0.6455711878065209	0.899	0.642	0	0	0	BEC
H2-T23	0	0.681528416240677	0.891	0.618	0	0	0.6372466875802836	0.883	0.667	0	0	0.773670447264942	0.918	0.609	0	0	0	BEC
Ubd	0	1.3026309718557694	0.916	0.291	0	0	1.066247301723997	0.929	0.38	0	0	1.3633966201117906	0.974	0.335	0	0	0	BEC
Gm4951	0	0.9871886658150187	0.761	0.171	0	0	0.9585847079385429	0.747	0.196	0	0	1.0364499290816838	0.773	0.137	0	0	0	BEC
Iigp1	0	1.072939093831403	0.953	0.584	0	0	0.9735120728992255	0.963	0.665	0	0	1.2778469924107536	0.97	0.5	0	0	0	BEC
